Date,new_daily_critical,cases_20_59,cases_60_74,cases_75+,total_critical
2020-06-05,0.0,70.85714285714286,8.857142857142856,1.107142857142857,29
2020-06-06,3.0,39.0,9.236842105263158,6.157894736842104,29
2020-06-07,5.0,95.2,5.6,3.3600000000000003,29
2020-06-08,1.0,97.23456790123456,22.098765432098766,1.1049382716049383,30
2020-06-09,3.0,90.99350649350652,8.987012987012987,4.4935064935064934,31
2020-06-10,1.0,141.7422222222222,19.04,8.462222222222222,32
2020-06-11,4.0,99.364161849711,7.7283236994219635,3.312138728323699,35
2020-06-12,2.0,109.1578947368421,14.982456140350877,3.2105263157894735,34
2020-06-13,1.0,79.12413793103447,5.137931034482759,2.0551724137931036,35
2020-06-14,3.0,85.45132743362831,16.849557522123895,6.017699115044248,32
2020-06-15,8.0,123.19047619047619,13.687830687830687,6.317460317460317,36
2020-06-16,2.0,174.02920634920636,29.881904761904764,9.772698412698414,38
2020-06-17,2.0,158.15492063492064,27.156190476190474,8.881269841269841,36
2020-06-18,4.0,178.7326984126984,30.689523809523806,10.036825396825396,39
2020-06-19,5.0,179.90857142857143,30.891428571428573,10.102857142857143,39
2020-06-20,3.0,92.89396825396827,15.95047619047619,5.216507936507936,40
2020-06-21,7.0,100.21772428884027,13.532822757111598,5.799781181619256,45
2020-06-22,2.0,200.43544857768055,27.065645514223196,11.599562363238512,44
2020-06-23,3.0,261.972647702407,35.37527352297593,15.160831509846826,40
2020-06-24,4.0,284.243253099927,38.38256746900073,16.449671772428886,45
2020-06-25,5.0,300.06710430342815,40.51932895696572,17.36542669584245,44
2020-06-26,6.0,270.76367614879655,36.56236323851204,15.669584245076585,45
2020-06-27,1.0,233.8413566739606,31.576586433260395,13.532822757111596,40
2020-06-28,5.0,232.37410071942446,29.205123705913316,11.60203544481488,39
2020-06-29,6.0,459.85611510791364,57.79540270222846,22.959817511844182,44
2020-06-30,12.0,477.589928057554,60.02421477452184,23.8452360063169,56
2020-07-01,7.0,591.3309352517985,74.31935427267942,29.524127039831548,59
2020-07-02,18.0,697.1223021582734,87.61537111773994,34.80610633444464,71
2020-07-03,8.0,572.9856115107914,72.01368661168627,28.60817687313564,82
2020-07-04,9.0,498.38129496402877,62.63730479031409,24.883312861905598,84
2020-07-05,15.0,497.04929008426643,57.49486321135865,24.790488283504562,93
2020-07-06,11.0,681.1861941590672,78.79441302089344,33.97437377351957,91
2020-07-07,14.0,820.1915040978877,94.87348493593443,40.9073069375505,93
2020-07-08,25.0,794.9178113817384,91.9500173150179,39.64677363499943,112
2020-07-09,35.0,915.2687290776867,105.87129170033475,45.649313170956944,127
2020-07-10,15.0,846.0669514025165,97.86655892877755,42.19785293778137,132
2020-07-11,18.0,699.8405864019394,80.95221055061756,34.904767401592984,137
2020-07-12,30.0,732.4494541581608,91.85834738617201,36.47963078015443,153
2020-07-13,43.0,1017.0279577527292,127.54806070826308,50.65305760184609,184
2020-07-14,33.0,946.0312416792401,118.64418212478921,47.1170675423804,190
2020-07-15,33.0,1105.7738528445902,138.67790893760542,55.07304517617821,209
2020-07-16,28.0,1142.4554894825596,143.27824620573358,56.89997337356883,210
2020-07-17,26.0,943.6646844767905,118.34738617200674,46.99920120706487,219
2020-07-18,28.0,850.7773142806425,106.6981450252951,42.372947545930586,236
2020-07-19,66.0,604.2000000000002,85.05011643835617,33.77588356164383,272
2020-07-20,39.0,1108.02,130.3859383561644,51.78006164383562,269
2020-07-21,37.0,1101.1000000000001,144.72677397260276,57.47522602739727,263
2020-07-22,56.0,1120.3500000000001,145.79897260273972,57.901027397260265,288
2020-07-23,57.0,1093.68,139.78664383561645,55.51335616438355,315
2020-07-24,36.0,984.4200000000001,137.78883287671235,54.71996712328767,329
2020-07-25,22.0,597.2400000000001,69.50452465753423,27.602275342465745,325
2020-07-26,38.0,572.0,65.35687671232876,25.955123287671228,315
2020-07-27,37.0,1179.41,157.3870205479452,62.50297945205479,318
